month,z_cape,z_corpdebt,z_nfci,z_vix,z_gpr,z_ndqsp,s_vix_adj,s_gpr_adj,l_nfci_adj,V,L,S,C,BIS
1985-01,0.4780748333168172,1.5948897588351005,0.08308782837745854,NA,NA,0.6375730094911977,NA,NA,0.08308782837745854,0.4780748333168172,0.8389887936062795,NA,0.6375730094911977,0.6515455454714315
1985-02,0.8829348476479417,1.5640601833463237,0.04441666873614384,NA,NA,0.8174968195828696,NA,NA,0.04441666873614384,0.8829348476479417,0.8042384260412337,NA,0.8174968195828696,0.8348900310906817
1985-03,0.7799246597171524,1.534328791206443,0.06730364367498624,NA,NA,0.7530633531337271,NA,NA,0.06730364367498624,0.7799246597171524,0.8008162174407146,NA,0.7530633531337271,0.7779347434305314
1985-04,0.8031981978082622,0.9127527909774845,0.10866177450672525,NA,NA,0.7134277076946818,NA,NA,0.10866177450672525,0.8031981978082622,0.5107072827421049,NA,0.7134277076946818,0.6757777294150163
1985-05,0.9821785332038103,0.8975543999996431,0.11270708076801571,NA,NA,0.6989201353226884,NA,NA,0.11270708076801571,0.9821785332038103,0.5051307403838294,NA,0.6989201353226884,0.7287431363034428
1985-06,1.1534290226049402,0.8825568619578671,0.09164332219583998,NA,NA,0.6264823827511309,NA,NA,0.09164332219583998,1.1534290226049402,0.48710009207685356,NA,0.6264823827511309,0.7556704991443083
1985-07,1.3113025518882222,0.5937886054452151,0.06944361003987083,NA,NA,0.7216422328828787,NA,NA,0.06944361003987083,1.3113025518882222,0.33161610774254296,NA,0.7216422328828787,0.7881869641712146
1985-08,1.0843273824464703,0.5810059092586309,0.022346181018176956,NA,NA,0.7596755802677491,NA,NA,0.022346181018176956,1.0843273824464703,0.30167604513840396,NA,0.7596755802677491,0.7152263359508745
1985-09,0.8524864815901065,0.5682297766799743,-0.07572024072326317,NA,NA,0.6771878162863225,NA,NA,-0.07572024072326317,0.8524864815901065,0.24625476797835558,NA,0.6771878162863225,0.5919763552849282
1985-10,0.9165875581900371,0.6458715485700116,-0.19447109191932185,NA,NA,0.5534327164994488,NA,NA,-0.19447109191932185,0.9165875581900371,0.22570022832534486,NA,0.5534327164994488,0.5652401676716102
1985-11,1.4123113592684722,0.635210750695074,-0.3059893821871591,NA,NA,0.5708147457474361,NA,NA,-0.3059893821871591,1.4123113592684722,0.16461068425395747,NA,0.5708147457474361,0.7159122630899551
1985-12,1.8193439186389004,0.6248634213900651,-0.36589729454760794,NA,NA,0.5716331940629632,NA,NA,-0.36589729454760794,1.8193439186389004,0.1294830634212286,NA,0.5716331940629632,0.8401533920410307
1986-01,1.8295742233630417,0.8908621771928973,-0.3719295619506924,NA,NA,0.6810901526205422,NA,NA,-0.3719295619506924,1.8295742233630417,0.25946630762110245,NA,0.6810901526205422,0.9233768945348954
1986-02,2.34382133259953,0.8862502717348089,-0.3485945533120947,NA,NA,0.7123239845191532,NA,NA,-0.3485945533120947,2.34382133259953,0.2688278592113571,NA,0.7123239845191532,1.1083243921100134
1986-03,2.906860869930465,0.8831069823560689,-0.32849616553680566,NA,NA,0.6833862539745679,NA,NA,-0.32849616553680566,2.906860869930465,0.2773054084096316,NA,0.6833862539745679,1.2891841774382213
1986-04,3.086797522627072,1.1762013665225388,-0.3174512841472774,NA,NA,0.7553206014340275,NA,NA,-0.3174512841472774,3.086797522627072,0.4293750411876307,NA,0.7553206014340275,1.4238310550829099
1986-05,2.9933678448752716,1.1703845695704431,-0.27673267910162364,NA,NA,0.8274726499831431,NA,NA,-0.27673267910162364,2.9933678448752716,0.44682594523440977,NA,0.8274726499831431,1.4225554800309415
1986-06,3.1185442618495123,1.1660932588111386,-0.16661218449022058,NA,NA,0.8007999202821457,NA,NA,-0.16661218449022058,3.1185442618495123,0.49974053716045896,NA,0.8007999202821457,1.473028239764039
1986-07,2.8432878360938973,1.4157443353572023,-0.020809869340770334,NA,NA,0.7159009271415187,NA,NA,-0.020809869340770334,2.8432878360938973,0.697467233008216,NA,0.7159009271415187,1.4188853320812107
1986-08,2.933104604977952,1.4036970579649946,0.16067728246862636,NA,NA,0.40214784152870886,NA,NA,0.16067728246862636,2.933104604977952,0.7821871702168105,NA,0.40214784152870886,1.372479872241157
1986-09,2.5877788161782798,1.3929433481410978,0.3376163250638527,NA,NA,0.2620757839868335,NA,NA,0.3376163250638527,2.5877788161782798,0.8652798366024752,NA,0.2620757839868335,1.2383781455891962
1986-10,2.4963211739782527,1.0570401414085437,0.4794755203115214,NA,NA,0.21176727363022022,NA,NA,0.4794755203115214,2.4963211739782527,0.7682578308600325,NA,0.21176727363022022,1.1587820928228352
1986-11,2.696708241500171,1.0426826123598838,0.5510872031045622,NA,NA,0.040138320179611914,NA,NA,0.5510872031045622,2.696708241500171,0.796884907732223,NA,0.040138320179611914,1.177910489804002
1986-12,2.7504640947963033,1.0287475518648763,0.5099033164214366,NA,NA,-0.1331385483344736,NA,NA,0.5099033164214366,2.7504640947963033,0.7693254341431565,NA,-0.1331385483344736,1.128883660201662
1987-01,3.12692426576968,0.890230188352801,0.3379321858991126,NA,NA,-0.03813401877699842,NA,NA,0.3379321858991126,3.12692426576968,0.6140811871259568,NA,-0.03813401877699842,1.234290478039546
1987-02,3.461325192685966,0.8753548722281176,0.107803982647157,NA,NA,0.003156492803771609,NA,NA,0.107803982647157,3.461325192685966,0.4915794274376373,NA,0.003156492803771609,1.3186870376424584
1987-03,3.5788600663847276,0.8606653925961324,-0.07287487758747202,NA,NA,0.04061194067994498,NA,NA,-0.07287487758747202,3.5788600663847276,0.3938952575043302,NA,0.04061194067994498,1.3377890881896677
